016  01291 |Loss: 0.561 | Acc: 80.000% 
016  01292 |Loss: 0.500 | Acc: 82.000% 
016  01293 |Loss: 0.485 | Acc: 81.000% 
016  01294 |Loss: 0.515 | Acc: 81.000% 
016  01295 |Loss: 0.566 | Acc: 78.000% 
016  01296 |Loss: 0.550 | Acc: 78.000% 
016  01297 |Loss: 0.572 | Acc: 78.000% 
016  01298 |Loss: 0.567 | Acc: 78.000% 
016  01299 |Loss: 0.574 | Acc: 77.000% 
016  01300 |Loss: 0.576 | Acc: 77.000% 
016  01301 |Loss: 0.564 | Acc: 78.000% 
016  01302 |Loss: 0.562 | Acc: 78.000% 
016  01303 |Loss: 0.568 | Acc: 78.000% 
016  01304 |Loss: 0.567 | Acc: 78.000% 
016  01305 |Loss: 0.580 | Acc: 77.000% 
016  01306 |Loss: 0.577 | Acc: 77.000% 
016  01307 |Loss: 0.583 | Acc: 77.000% 
016  01308 |Loss: 0.578 | Acc: 77.000% 
016  01309 |Loss: 0.581 | Acc: 77.000% 
016  01310 |Loss: 0.576 | Acc: 77.000% 
016  01311 |Loss: 0.567 | Acc: 78.000% 
016  01312 |Loss: 0.580 | Acc: 77.000% 
016  01313 |Loss: 0.584 | Acc: 77.000% 
016  01314 |Loss: 0.579 | Acc: 77.000% 
016  01315 |Loss: 0.577 | Acc: 77.000% 
016  01316 |Loss: 0.578 | Acc: 78.000% 
016  01317 |Loss: 0.578 | Acc: 78.000% 
016  01318 |Loss: 0.579 | Acc: 77.000% 
016  01319 |Loss: 0.583 | Acc: 77.000% 
016  01320 |Loss: 0.580 | Acc: 77.000% 
016  01321 |Loss: 0.574 | Acc: 78.000% 
016  01322 |Loss: 0.575 | Acc: 78.000% 
016  01323 |Loss: 0.572 | Acc: 78.000% 
016  01324 |Loss: 0.571 | Acc: 78.000% 
016  01325 |Loss: 0.571 | Acc: 78.000% 
016  01326 |Loss: 0.573 | Acc: 78.000% 
016  01327 |Loss: 0.573 | Acc: 78.000% 
016  01328 |Loss: 0.576 | Acc: 78.000% 
016  01329 |Loss: 0.573 | Acc: 78.000% 
016  01330 |Loss: 0.569 | Acc: 78.000% 
016  01331 |Loss: 0.568 | Acc: 78.000% 
016  01332 |Loss: 0.568 | Acc: 78.000% 
016  01333 |Loss: 0.564 | Acc: 78.000% 
016  01334 |Loss: 0.565 | Acc: 78.000% 
016  01335 |Loss: 0.565 | Acc: 78.000% 
016  01336 |Loss: 0.561 | Acc: 78.000% 
016  01337 |Loss: 0.564 | Acc: 78.000% 
016  01338 |Loss: 0.565 | Acc: 78.000% 
016  01339 |Loss: 0.564 | Acc: 78.000% 
016  01340 |Loss: 0.566 | Acc: 78.000% 
016  01341 |Loss: 0.566 | Acc: 78.000% 
016  01342 |Loss: 0.572 | Acc: 78.000% 
016  01343 |Loss: 0.571 | Acc: 78.000% 
016  01344 |Loss: 0.570 | Acc: 78.000% 
016  01345 |Loss: 0.570 | Acc: 78.000% 
016  01346 |Loss: 0.570 | Acc: 78.000% 
016  01347 |Loss: 0.567 | Acc: 78.000% 
016  01348 |Loss: 0.564 | Acc: 78.000% 
016  01349 |Loss: 0.562 | Acc: 78.000% 
016  01350 |Loss: 0.561 | Acc: 78.000% 
016  01351 |Loss: 0.561 | Acc: 78.000% 
016  01352 |Loss: 0.562 | Acc: 78.000% 
016  01353 |Loss: 0.560 | Acc: 78.000% 
016  01354 |Loss: 0.557 | Acc: 78.000% 
016  01355 |Loss: 0.561 | Acc: 78.000% 
016  01356 |Loss: 0.564 | Acc: 78.000% 
016  01357 |Loss: 0.561 | Acc: 78.000% 
016  01358 |Loss: 0.559 | Acc: 78.000% 
016  01359 |Loss: 0.559 | Acc: 78.000% 
016  01360 |Loss: 0.558 | Acc: 78.000% 
016  01361 |Loss: 0.555 | Acc: 78.000% 
016  01362 |Loss: 0.557 | Acc: 78.000% 
016  01363 |Loss: 0.559 | Acc: 78.000% 
016  01364 |Loss: 0.560 | Acc: 78.000% 
016  01365 |Loss: 0.557 | Acc: 78.000% 
016  01366 |Loss: 0.555 | Acc: 78.000% 
016  01367 |Loss: 0.552 | Acc: 78.000% 
016  01368 |Loss: 0.551 | Acc: 78.000% 
016  01369 |Loss: 0.551 | Acc: 78.000% 
016  01370 |Loss: 0.550 | Acc: 78.000% 
016  01371 |Loss: 0.550 | Acc: 78.000% 
016  01372 |Loss: 0.550 | Acc: 78.000% 
016  01373 |Loss: 0.551 | Acc: 78.000% 
016  01374 |Loss: 0.550 | Acc: 78.000% 
016  01375 |Loss: 0.548 | Acc: 78.000% 
016  01376 |Loss: 0.547 | Acc: 78.000% 
017  01377 |Loss: 0.609 | Acc: 78.000% 
017  01378 |Loss: 0.596 | Acc: 77.000% 
017  01379 |Loss: 0.603 | Acc: 75.000% 
017  01380 |Loss: 0.578 | Acc: 77.000% 
017  01381 |Loss: 0.564 | Acc: 78.000% 
017  01382 |Loss: 0.562 | Acc: 79.000% 
017  01383 |Loss: 0.536 | Acc: 80.000% 
017  01384 |Loss: 0.536 | Acc: 80.000% 
017  01385 |Loss: 0.542 | Acc: 80.000% 
017  01386 |Loss: 0.544 | Acc: 80.000% 
017  01387 |Loss: 0.542 | Acc: 80.000% 
017  01388 |Loss: 0.534 | Acc: 80.000% 
017  01389 |Loss: 0.539 | Acc: 79.000% 
017  01390 |Loss: 0.531 | Acc: 79.000% 
017  01391 |Loss: 0.517 | Acc: 80.000% 
017  01392 |Loss: 0.507 | Acc: 81.000% 
017  01393 |Loss: 0.519 | Acc: 80.000% 
017  01394 |Loss: 0.523 | Acc: 80.000% 
017  01395 |Loss: 0.515 | Acc: 80.000% 
017  01396 |Loss: 0.520 | Acc: 80.000% 
017  01397 |Loss: 0.515 | Acc: 80.000% 
017  01398 |Loss: 0.520 | Acc: 80.000% 
017  01399 |Loss: 0.524 | Acc: 80.000% 
017  01400 |Loss: 0.523 | Acc: 80.000% 
017  01401 |Loss: 0.519 | Acc: 80.000% 
017  01402 |Loss: 0.518 | Acc: 80.000% 
017  01403 |Loss: 0.511 | Acc: 81.000% 
017  01404 |Loss: 0.504 | Acc: 81.000% 
017  01405 |Loss: 0.507 | Acc: 81.000% 
017  01406 |Loss: 0.507 | Acc: 81.000% 
017  01407 |Loss: 0.506 | Acc: 80.000% 
017  01408 |Loss: 0.505 | Acc: 81.000% 
017  01409 |Loss: 0.502 | Acc: 81.000% 
017  01410 |Loss: 0.502 | Acc: 81.000% 
017  01411 |Loss: 0.499 | Acc: 81.000% 
017  01412 |Loss: 0.499 | Acc: 81.000% 
017  01413 |Loss: 0.499 | Acc: 81.000% 
017  01414 |Loss: 0.504 | Acc: 80.000% 
017  01415 |Loss: 0.506 | Acc: 80.000% 
017  01416 |Loss: 0.509 | Acc: 81.000% 
017  01417 |Loss: 0.512 | Acc: 80.000% 
017  01418 |Loss: 0.512 | Acc: 80.000% 
017  01419 |Loss: 0.514 | Acc: 80.000% 
017  01420 |Loss: 0.517 | Acc: 80.000% 
017  01421 |Loss: 0.516 | Acc: 80.000% 
017  01422 |Loss: 0.514 | Acc: 80.000% 
017  01423 |Loss: 0.510 | Acc: 80.000% 
017  01424 |Loss: 0.509 | Acc: 80.000% 
017  01425 |Loss: 0.506 | Acc: 80.000% 
017  01426 |Loss: 0.503 | Acc: 81.000% 
017  01427 |Loss: 0.505 | Acc: 80.000% 
017  01428 |Loss: 0.505 | Acc: 80.000% 
017  01429 |Loss: 0.515 | Acc: 80.000% 
017  01430 |Loss: 0.515 | Acc: 80.000% 
017  01431 |Loss: 0.514 | Acc: 80.000% 
017  01432 |Loss: 0.517 | Acc: 80.000% 
017  01433 |Loss: 0.515 | Acc: 80.000% 
017  01434 |Loss: 0.514 | Acc: 80.000% 
017  01435 |Loss: 0.511 | Acc: 80.000% 
017  01436 |Loss: 0.511 | Acc: 80.000% 
017  01437 |Loss: 0.509 | Acc: 81.000% 
017  01438 |Loss: 0.509 | Acc: 81.000% 
017  01439 |Loss: 0.507 | Acc: 81.000% 
017  01440 |Loss: 0.506 | Acc: 81.000% 
017  01441 |Loss: 0.508 | Acc: 81.000% 
017  01442 |Loss: 0.508 | Acc: 80.000% 
017  01443 |Loss: 0.508 | Acc: 81.000% 
017  01444 |Loss: 0.509 | Acc: 81.000% 
017  01445 |Loss: 0.509 | Acc: 80.000% 
017  01446 |Loss: 0.509 | Acc: 80.000% 
017  01447 |Loss: 0.508 | Acc: 80.000% 
017  01448 |Loss: 0.509 | Acc: 80.000% 
017  01449 |Loss: 0.510 | Acc: 80.000% 
017  01450 |Loss: 0.509 | Acc: 80.000% 
017  01451 |Loss: 0.509 | Acc: 80.000% 
017  01452 |Loss: 0.509 | Acc: 80.000% 
017  01453 |Loss: 0.510 | Acc: 80.000% 
017  01454 |Loss: 0.511 | Acc: 80.000% 
017  01455 |Loss: 0.509 | Acc: 80.000% 
017  01456 |Loss: 0.509 | Acc: 80.000% 
017  01457 |Loss: 0.510 | Acc: 80.000% 
017  01458 |Loss: 0.510 | Acc: 80.000% 
017  01459 |Loss: 0.508 | Acc: 80.000% 
017  01460 |Loss: 0.509 | Acc: 80.000% 
017  01461 |Loss: 0.508 | Acc: 80.000% 
017  01462 |Loss: 0.508 | Acc: 80.000% 
018  01463 |Loss: 0.396 | Acc: 86.000% 
018  01464 |Loss: 0.405 | Acc: 86.000% 
018  01465 |Loss: 0.431 | Acc: 83.000% 
